Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$460,699,653","$372,755",<0.1%,"$460,326,898",99.9%
2,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
3,Tenet,"$334,000,000","$50,600,000",15.1%,"$283,400,000",84.9%
4,Sonic the Hedgehog,"$308,439,603","$146,066,470",47.4%,"$162,373,133",52.6%
5,Dolittle,"$245,229,088","$77,047,065",31.4%,"$168,182,023",68.6%
6,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
7,Legend of Deification,"$163,563,720","$206,695",0.1%,"$163,357,025",99.9%
8,Onward,"$141,155,721","$61,555,145",43.6%,"$79,600,576",56.4%
9,The Invisible Man,"$130,757,609","$64,914,050",49.6%,"$65,843,559",50.4%
10,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
11,Mulan,"$66,800,000",-,-,"$66,800,000",100%
12,Fantasy Island,"$48,680,805","$27,309,289",56.1%,"$21,371,516",43.9%
13,After We Collided,"$46,023,931","$420,000",0.9%,"$45,603,931",99.1%
14,The New Mutants,"$43,949,714","$22,949,714",52.2%,"$21,000,000",47.8%
15,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
16,Unhinged,"$40,873,048","$20,173,048",49.4%,"$20,700,000",50.6%
17,Train to Busan Presents: Peninsula,"$37,039,506","$1,207,873",3.3%,"$35,831,633",96.7%
18,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
19,Bloodshot,"$33,482,340","$12,561,824",37.5%,"$20,920,516",62.5%
20,Greenland,"$31,100,000",-,-,"$31,100,000",100%
21,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
22,Trolls World Tour,"$28,352,867",-,-,"$28,352,867",100%
23,Emma.,"$25,643,922","$10,055,355",39.2%,"$15,588,567",60.8%
24,Leap,"$25,418,881","$83,074",0.3%,"$25,335,807",99.7%
25,Scoob!,"$23,800,000",-,-,"$23,800,000",100%
